Disease Class,Disease/Phenotype,Population Type,Type Of Association,No. of Records,Latest Year of Occurence
CHEMDEPENDENCY,alcoholism,Spanish,Y,1,2000
IMMUNE,IL-4,Japanese,Y,1,2002
AGING,osteoarthritis,Icelandic,Y,1,2004
UNKNOWN,adiponectin,Finnish,Y,1,2005
METABOLIC,obesity,obese girls,Y,1,2000
RENAL,diabetic nephropathy,Chinese,Y,1,2005
METABOLIC,High Triglyceride/ Low HDL Cholesterol Levels,Hispanics and Non-Hispanic Whites,Y,1,2000
CHEMDEPENDENCY,alcoholism,Chinese,Y,1,2003
IMMUNE,multiple sclerosis,non-Ashkenazi Jewish,Y,1,2003
IMMUNE,"diabetes, type 1",Swedish,Y,1,2003
CARDIOVASCULAR,myocardial infarct,Chinese,Y,1,2004
IMMUNE,Total serum IgE. specific IgE. AR,Japanese,Y,1,2001
NEUROLOGICAL,"panencephalitis, subacute sclerosing",Japanese,Y,1,2004
IMMUNE,Contact Allergy,Caucasian,Y,1,2000
NEUROLOGICAL,motor neuron disease,Russian,Y,1,2004
IMMUNE,Asthma,U.K. Caucasians,Y,1,2000
CARDIOVASCULAR,Abdominal adiposity and Hypertension,white Caucasian obese hypertensives,Y,1,1999
CHEMDEPENDENCY,heroin dependence,Chinese,Y,1,2001
IMMUNE,Total IgE. atopic asthma,German,Y,1,2000
CARDIOVASCULAR,"aneurysm, abdominal aortic",Japanese,Y,1,2002
METABOLIC,"diabetes, type 2",Turkish,Y,1,2004
METABOLIC,obesity,obese women,Y,1,1999
METABOLIC,"diabetes, type 2",Han population of North China,Y,1,2003
NEUROLOGICAL,familial Alzheimer's disease associated,Japanese,Y,1,2003
CANCER,stomach cancer; stomach atrophy,Japanese,Y,1,2005
OTHER,HTLV-1 associated myelopathy/tropical spastic; paraparesis,African,Y,1,2002
CARDIOVASCULAR,Type II diabetes and hypertension,Chinese,Y,1,2003
CANCER,prostate cancer,Jewish,Y,1,2003
CARDIOVASCULAR,blood pressure,French,Y,1,2001
INFECTION,meningococcal disease,Caucasian,Y,1,2003
IMMUNE,multiple sclerosis,Norwegian,Y,1,2001
PSYCH,personality disorders,Korean,Y,1,2005
AGING,harm avoidance behaviour in an elderly population.,elderly,Y,1,1998
NEUROLOGICAL,ALS/amyotrophic lateral sclerosis,Italian,Y,1,2002
IMMUNE,Atopic dermatitis. atopy,U.K.,Y,1,2001
IMMUNE,"asthma; dermatitis and eczema; anaphylaxis, food-related",Japanese,Y,1,2003
OTHER,ability to taste phenylthiocarbamide,"European, East Asian, sub-Sahara African, SW Native American",Y,1,2003
REPRODUCTION,shortened gestation,Finnish,Y,1,2002
METABOLIC,"diabetes, type 2",elderly population,Y,1,2002
METABOLIC,hypothyroidism,Tunisian,Y,1,2004
CANCER,liver cancer,Chinese,Y,1,2005
CARDIOVASCULAR,"heart disease, ischemic; insulin",Caucasian,Y,1,2005
METABOLIC,"cholesterol, HDL; cholesterol, LDL",Korean,Y,1,2004
METABOLIC,"diabetes, type 2; body fat; lipid metabolism",Chinese,Y,1,2002
INFECTION,Progression to AIDS,Caucasian,Y,1,2001
IMMUNE,sarcoidosis,Japanese,Y,1,2003
CANCER,lung cancer,Spanish,Y,1,2004
METABOLIC,triacylglycerol,Korean,Y,1,2003
AGING,cognitive function,chinese,Y,1,2003
PSYCH,tardive dyskinesia,Korean,Y,1,2002
CARDIOVASCULAR,hypertension,>2000 Japanese individuals,Y,1,2002
IMMUNE,"autoimmune thyroid disease; thyroid disease, autoimmune",Caucasian,Y,1,2001
IMMUNE,multiple sclerosis,Sardinian,Y,1,2000
METABOLIC,"cholesterol, HDL; triglycerides; cholesterol, LDL; lipoprotein; fatty acid; uric acid",Japanese,Y,1,2004
NEUROLOGICAL,late-onset Alzheimer's disease.,Japanese,Y,1,2004
OTHER,nitric oxide,Korean,Y,1,2002
OTHER,hearing loss/deafness,Korean,Y,1,2005
CARDIOVASCULAR,"hypertension, pregnancy induced",Caucasian,Y,1,2002
NEUROLOGICAL,Progressive supranuclear palsy,European/Caucasian,Y,1,2003
OTHER,primary biliary cirrhosis,German,Y,1,1995
AGING,protein fraction levels,Japanese,Y,1,2003
PSYCH,obsessive compulsive disorder,Seventy-one probands with /DSM-III-R/ or /DSM-IV/^ OCD,Y,1,2006
INFECTION,Leprosy,India,Y,1,2004
IMMUNE,ulcerative colitis,Iranian,Y,1,2007
METABOLIC,"diabetes, type 2 hypertension intima-media thickness mortality",Caucasian,Y,1,2006
METABOLIC,glucose tolerance hyperglycemia,Japanese;Chinese;Indian;Pima Indians,Y,1,2006
CARDIOVASCULAR,"atherosclerosis, carotid",European,Y,1,2006
REPRODUCTION,estradiol,German,Y,1,2007
PSYCH,schizophrenia,Danish,Y,1,2006
METABOLIC,osteoarthritis,Japanese;Chinese;Caucasian;European,Y,1,2006
REPRODUCTION,premature ovarian failure,Caucasian,Y,1,2006
RENAL,diabetic neuropathy,Russian,Y,1,2006
RENAL,diabetic nephropathy,Japanese;Indian;Asian,Y,1,2007
IMMUNE,asthma IgE,Korean,Y,1,2007
PSYCH,attentional network function,Caucasian,Y,1,2007
IMMUNE,Hashimoto's thryoiditis,Polish,Y,1,2006
METABOLIC,metabolic syndrome,European,Y,1,2007
CHEMDEPENDENCY,smoking behavior,Asian,Y,1,2006
IMMUNE,"diabetes, type 1 Vitamin D",German,Y,1,2007
PSYCH,anxiety disorder panic disorder,German,Y,1,2006
PSYCH,Asperger syndrome,Finnish;Scottish,Y,1,2007
IMMUNE,pemphigus vulgaris,Indian,Y,1,2006
METABOLIC,birth weight,"White Western European, Sri Lanka Sinhalese",Y,1,2007
CANCER,lung cancer,Chinese;European,Y,1,2007
CANCER,colorectal cancer,German,Y,1,2007
CHEMDEPENDENCY,alcoholism,Finnish,Y,1,2006
IMMUNE,"bronchopulmonary dysplasia respiratory distress syndrome, neonatal",Finnish,Y,1,2006
NEUROLOGICAL,cluster headache,European,Y,1,2007
INFECTION,cervical dysplasia H. pylori infection,Vietnamese,Y,1,2006
OTHER,lung function,French,Y,1,2006
IMMUNE,sarcoidosis,Polish,Y,1,2006
PSYCH,"depressive disorder, major",Japanese;Caucasian;European,Y,1,2006
REPRODUCTION,premature pubarche,Caucasian,Y,1,2007
IMMUNE,Crohn's disease,Jewish,Y,1,2007
METABOLIC,lactose intolerance,European,Y,1,2007
METABOLIC,bone density,Canadian;French,Y,1,2007
CANCER,melanoma,European,Y,1,2006
OTHER,"pancreatitis, acute",Caucasian,Y,1,2007
METABOLIC,bone mass IGF-I levels sex steroid hormones,Caucasian,Y,1,2006
IMMUNE,periodontal disease,Turkish,Y,1,2006
METABOLIC,dyslipidemia,Mexican;Mexican American,Y,1,2007
IMMUNE,rheumatoid arthritis,European;Asian,Y,1,2007
IMMUNE,lupus erythematosus,African American;Hispanic Caucasian,Y,1,2007
METABOLIC,body mass,Caucasian,Y,1,2007
CARDIOVASCULAR,stroke,Polish,Y,1,2007
PSYCH,attention deficit hyperactivity disorder conduct disorder novelty seeking substance experimentation,Hispanic Caucasian,Y,1,2007
OTHER,gastric atrophy,Japanese;Brazilian;Caucasian,Y,1,2006
IMMUNE,multiple sclerosis,Caucasian,Y,1,2006
PSYCH,"depressive disorder, major suicide",Canadian;French,Y,1,2006
IMMUNE,asthma respiratory syncytial virus,Finnish,Y,1,2006
CHEMDEPENDENCY,alcoholism,Brazilian;European,Y,1,2006
PSYCH,Tourette syndrome,Caucasian,Y,1,2006
NEUROLOGICAL,Parkinson's disease,European;German,Y,1,2006
IMMUNE,pemphigus,Israeli;Jewish,Y,1,2005
METABOLIC,"diabetes, type 2",Scottish,Y,1,2007
CANCER,esophageal cancer noncardia gastric carcinoma stomach cancer,Caucasian,Y,1,2006
PSYCH,"bipolar disorder depressive disorder, major",Canadian;French,Y,1,2007
CARDIOVASCULAR,myocardial infarct,Caucasian,Y,1,2007
CANCER,upper aerodigestive tract cancer,"Romania, Poland, Russia, Slovakia and the Czech Republic.",Y,1,2006
CARDIOVASCULAR,high density lipoprotein cholesterol level,Japanese,Y,1,2003
VISION,macular degeneration,Chinese,Y,1,2003
METABOLIC,"cholesterol; cholesterol, LDL",Caucasian,Y,1,2001
NORMALVARIATION,endurance performance,swimmers vs age matched military recruits,Y,1,2001
IMMUNE,lupus erythematosus; nephropathy in other diseases,Caucasian,Y,1,2004
PSYCH,schizophrenia; schizoaffective disorder,Spanish,Y,1,2005
METABOLIC,Body Weight,Anglo- Celtic Australian Caucasin,Y,1,2001
CANCER,non-small cell lung cancer,54 NSCLC patients and 59 non-cancer controls,Y,1,2001
METABOLIC,angiotensinogen concentrations,healthy pregnant women,Y,1,2000
METABOLIC,nephropathy in other diseases,Japanese,Y,1,2003
OTHER,liver cirrhosis,Japanese,Y,1,1995
CARDIOVASCULAR,myocardial infarct; lipoprotein; cerebral infarct,Chinese,Y,1,2002
METABOLIC,triglycerides,Chinese,Y,1,2003
AGING,life expectancy,European,Y,1,2004
METABOLIC,androgen insensitivity syndrome,Australian,Y,1,2004
METABOLIC,liver disease; Wilson disease,Chinese,Y,1,2004
VISION,optic disc atrophy,Japanese,Y,1,2003
CARDIOVASCULAR,microvascular function,Caucasian,Y,1,2002
IMMUNE,Crohn's disease; ulcerative colitis,Greek,Y,1,2005
INFECTION,tuberculosis,Mexicans and Koreans,Y,1,2005
CANCER,esophageal cancer; gastric cardiac cancer,Chinese,Y,1,2003
IMMUNE,Physician diagnosed asthma,Caucasian,Y,1,2003
IMMUNE,Total IgE,British. Japanese,Y,1,1999
CARDIOVASCULAR,"atherosclerosis, coronary; diabetes, type 2",Caucasian,Y,1,2004
AGING,exceptional longevity,Ashkenazi Jews,Y,1,2003
IMMUNE,allergic bronchopulmonary aspergillosis ABPA,Belgium,Y,1,2001
OTHER,sleep disorders,Japanese,Y,1,2004
CARDIOVASCULAR,intracranial aneurysms,Japanese,Y,1,2004
PSYCH,depression,Mexican,Y,1,2004
METABOLIC,"diabetes, type 2; diabetes, type 1",Chinese,Y,1,2002
IMMUNE,celiac disease,Italian,Y,1,2003
INFECTION,HIV; pneumocystis carinii pneumonia,African Americans,Y,1,2003
CANCER,prostate cancer,French,Y,1,2001
REPRODUCTION,menarche,Turkish,Y,1,2005
PHARMACOGENOMIC,clomipramine metabolism,Japanese,Y,1,2001
CANCER,adult brain tumors,patients from 3 USA hospitals,Y,1,2003
NEUROLOGICAL,Alzheimer's Disease,Jewish (mostly),Y,1,2004
PSYCH,attention deficit hyperactivity disorder,Indian,Y,1,2005
CARDIOVASCULAR,"left ventricular hypertrophy; blood pressure, arterial",Swedish,Y,1,2004
OTHER,COPD,U.K.,Y,1,1997
METABOLIC,bone mineral density,participants in the National Institure For Longevity Sciences Longitudinal Study of Aging,Y,1,2002
CARDIOVASCULAR,nonfatal myocardial infarction.,post-menopausal women,Y,1,2003
METABOLIC,"cholesterol; triglycerides; diabetes, type 2; obesity",Japanese,Y,1,2004
OTHER,scleroderma,Native American,Y,1,1998
CARDIOVASCULAR,"stroke, ischemic; fibrinogen",Chinese,Y,1,2002
CHEMDEPENDENCY,alcohol dependence,Scottish,Y,1,1999
METABOLIC,"diabetes, gestational",Chinese,Y,1,1999
METABOLIC,"diabetes, type 2",Polish,Y,1,2002
CARDIOVASCULAR,"atherosclerosis, generalized",Japanese,Y,1,2004
CANCER,tuberculosis; esophageal cancer,South African,Y,1,2003
OTHER,Life expectancy,Danish,Y,1,2001
CANCER,nasopharyngeal cancer,Chinese,Y,1,2002
METABOLIC,cholestasis,Chinese,Y,1,2003
IMMUNE,"diabetes, type 1",Indian,Y,1,2004
IMMUNE,pemphigus,Chinese,Y,1,2003
OTHER,"cirrhosis, biliary primary",Caucasian,Y,1,2005
CHEMDEPENDENCY,cocaine dependence,African American,Y,1,2005
PSYCH,schizophrenia,Indian,Y,1,2002
PSYCH,personality traits,Korean,Y,1,2004
IMMUNE,coeliac disease,Spanish,Y,1,2004
DEVELOPMENTAL,postnatal growth,unknown,Y,1,2003
IMMUNE,BHR,Dutch,Y,1,2001
INFECTION,hepatitis B,Chinese,Y,1,2005
CANCER,gastric carcinoma,North Portugal,Y,1,2001
CANCER,vulvar carcinogenesis,caucasian,Y,1,2004
IMMUNE,Asthma severity,Tunisian,Y,1,1999
INFECTION,respiratory syncytial virus,Korean,Y,1,2002
IMMUNE,atopy,Spanish,Y,1,2005
REPRODUCTION,premature ovarian failure,Italian,Y,1,2002
METABOLIC,body fat; insulin resistance,Italian,Y,1,2001
CARDIOVASCULAR,QT interval,Finnish,Y,1,2002
INFECTION,Nonsurvivors of sepsis (male only),204 SS pts,Y,1,2001
PSYCH,schizophrenia; body fat; weight gain,Chinese,Y,1,2003
OTHER,systolic blood pressure,Chinese,Y,1,2002
IMMUNE,atopy,Italian,Y,1,1999
IMMUNE,multiple sclerosis,Jewish,Y,1,2003
IMMUNE,inflammatory bowel disease,Italian,Y,1,2002
OTHER,preterm delivery,African American,Y,1,2002
IMMUNE,Hyperresponsiveness,Italian,Y,1,1998
INFECTION,severe acute respiratory syndrome,Vietnamese,Y,1,2005
IMMUNE,"diabetes, type 1",French,Y,1,1999
IMMUNE,Asthma,U.S. Caucasians,Y,1,2000
METABOLIC,"diabetes, type 2",Caucasian of British/European descent,Y,1,2002
OTHER,"lipids; blood pressure; atherosclerosis, carotid",Finnish,Y,1,2001
CHEMDEPENDENCY,alcohol abuse,Swedish,Y,1,2004
IMMUNE,"malaria, cerebral",Thai,Y,1,2001
CARDIOVASCULAR,"atherosclerosis, coronary",caucasians of German nationality /inhabitants of the Rhein-Mainz area.,Y,1,2004
CARDIOVASCULAR,"atherosclerosis, coronary",Japanese,Y,1,2003
METABOLIC,lipids; height,French,Y,1,2003
AGING,cerebral aging,over 70 non-dememtia,Y,1,2003
NEUROLOGICAL,Alzheimer's Disease,UK Caucasian,Y,1,1996
IMMUNE,Rheumatoid Arthritis,white multiplex families from throughout the United States,Y,1,2004
IMMUNE,multiple sclerosis,Italian,Y,1,2002
METABOLIC,"diabetes, type 2; cholesterol, LDL; glucose tolerance; blood pressure, arterial; glycosylated hemoglobin A1",Finnish,Y,1,2005
VISION,X linked juvenile retinoschisis,Italian,Y,1,2003
IMMUNE,atopy-susceptibility,Hutterite,Y,1,2003
METABOLIC,"lipoprotein, LDL",Japanese,Y,1,2004
CHEMDEPENDENCY,alcohol withdrawl seizure and delirium tremens,alcohol-dependant patients,Y,1,2003
PSYCH,"depressive disorder, major",Japanese,Y,1,2002
METABOLIC,diabetes mellitus,Moscow,Y,1,2002
CANCER,prostate cancer,African-American and Hispanic men in Los Angeles,Y,1,1999
METABOLIC,obesity,Tunisian,Y,1,2001
METABOLIC,"diabetes, type 2",Indian,Y,1,2005
CARDIOVASCULAR,acute myocardial infarction,young indian asian,Y,1,2003
CARDIOVASCULAR,"stroke, ischemic",Chinese,Y,1,2005
OTHER,thyroid-associated ophthalmopathy,Japanese,Y,1,2000
CANCER,endometrial cancer,Korean,Y,1,2004
IMMUNE,Sjogren's syndrome,Japanese,Y,1,2005
METABOLIC,leptin levels,Spanish,Y,1,2004
METABOLIC,"diabetes, type 2; metabolic syndrome",Chinese,Y,1,2005
METABOLIC,nephrolithiasis,hypercalciuric and nonhypercalciuric nephrolithiasis patients,Y,1,1999
CANCER,head and neck cancer,Korean,Y,1,2004
PSYCH,Schizophrenia,French Caucasian,Y,1,2000
PSYCH,obsessive compulsive disorder,Afrikaner,Y,1,2001
PHARMACOGENOMIC,cyclosporine pharmacokinetics,African American,Y,1,2004
CARDIOVASCULAR,hypertension; autonomic nervous system dysfunction,Japanese,Y,1,2004
IMMUNE,antineutrophil cytoplasmic antibody; (ANCA)-associated vasculitis,Japanese,Y,1,2003
METABOLIC,Type 2 diabtes,Native Americans and Caucasians,Y,1,2003
NEUROLOGICAL,primary progressive aphasia,Pts at the Northwestern University AD Center,Y,1,2003
CARDIOVASCULAR,smoking,Japanese,Y,1,2003
CARDIOVASCULAR,coronary artery disease,Caucasian patients of the GENICA study,Y,1,2003
RENAL,"kidney failure, chronic",Japanese,Y,1,2002
RENAL,polycystic kidney disease,Korean,Y,1,2002
CARDIOVASCULAR,respiratory-distress syndrome,Finnish,Y,1,2000
IMMUNE,"diabetes, type 1",ethnically and geographically matched patients and controls,Y,1,2004
IMMUNE,psoriatic arthritis,Jewish,Y,1,2001
VISION,intraocular pressure,Japanese,Y,1,2004
CARDIOVASCULAR,Cardiovascular,1810 type 2 diabetics from Dundee,Y,1,2005
IMMUNE,Autoimmune hepatitis type 1,western India,Y,1,2005
PHARMACOGENOMIC,antiemetic response,Turkish,Y,1,2005
METABOLIC,"aldosterone blood pressure, arterial kidney function left ventricular function",Caucasian,Y,1,2007
IMMUNE,"diabetes, type 1",Caucasian;German,Y,1,2006
METABOLIC,body weight height limb length,European,Y,1,2006
NEUROLOGICAL,Alzheimer's disease,European,Y,1,2006
NEUROLOGICAL,photoparoxysmal response,German,Y,1,2006
METABOLIC,catalase activity,African American;Caucasian,Y,1,2006
METABOLIC,"body mass diabetes, type 2 triglycerides",Korean,Y,1,2006
IMMUNE,asthma atopy,Danish,Y,1,2007
IMMUNE,multiple sclerosis rheumatoid arthritis,Spanish;European,Y,1,2006
IMMUNE,lupus erythematosus,Chinese;Caucasian,Y,1,2007
IMMUNE,"sclerosis, systemic",Italian,Y,1,2007
PHARMACOGENOMIC,nevaprine pharmacokinetics,Caucasian;European,Y,1,2007
CARDIOVASCULAR,"blood pressure, arterial kidney function",Indian,Y,1,2006
CHEMDEPENDENCY,nicotine dependence smoking behavior,European,Y,1,2006
IMMUNE,inflammatory bowel disease,Scottish,Y,1,2007
PSYCH,cognitive function,Caucasian,Y,1,2006
CANCER,lung cancer,Thai;Asian,Y,1,2006
IMMUNE,rheumatoid arthritis,Japanese;Caucasian,Y,1,2006
METABOLIC,G6PD deficiency,Saudi,Y,1,2001
METABOLIC,body mass obesity triglycerides,Caucasian,Y,1,2006
CARDIOVASCULAR,"stroke, ischemic",Moscow,Y,1,2006
RENAL,kidney transplant,Caucasian,Y,1,2007
IMMUNE,celiac disease,Caucasian;French,Y,1,2006
PHARMACOGENOMIC,asthma,non-Hispanic,Y,1,2007
CANCER,breast cancer,Tunisian,Y,1,2005
CANCER,C-peptide insulin-like growth factor sex hormones,non-Hispanic,Y,1,2006
METABOLIC,"cholesterol, LDL",Caucasian,Y,1,2007
NEUROLOGICAL,Parkinson's disease,Asian,Y,1,2006
CHEMDEPENDENCY,smoking behavior,Caucasian,Y,1,2006
CANCER,melanoma,Caucasian,Y,1,2006
PSYCH,schizophrenia,Irish,Y,1,2006
CARDIOVASCULAR,hypertension,Singapore,Y,1,2006
IMMUNE,inflammatory bowel disease,Irish,Y,1,2006
CHEMDEPENDENCY,heroin abuse,Caucasian;European,Y,1,2007
IMMUNE,anti-cyclic citrullinated peptide antibodies rheumatoid arthritis,Korean,Y,1,2007
CANCER,lung cancer,German;Italian,Y,1,2006
METABOLIC,abdominal fat fatty acid glucose tolerance insulin lipids prostaglandin,Korean,Y,1,2006
NORMALVARIATION,physical performance,Russian,Y,1,2006
CARDIOVASCULAR,"atherosclerosis, coronary",European;Indian,Y,1,2005
CARDIOVASCULAR,"atherosclerosis, diabetic",Caucasian,Y,1,2006
IMMUNE,rheumatoid arthritis,German,Y,1,2006
CANCER,head and neck cancer mutagen sensitivity,non-Hispanic,Y,1,2006
RENAL,"nephropathy, IgA",European;Asian,Y,1,2006
CANCER,prostate cancer,non-Hispanic,Y,1,2007
PSYCH,suicide,European;Asian,Y,1,2006
NEUROLOGICAL,Parkinson's disease,Japanese;Caucasian,Y,1,2006
CANCER,prostate cancer,Caucasian;French,Y,1,2007
METABOLIC,"diabetes, type 2",Danish;Finnish;Icelandic,Y,1,2006
METABOLIC,"diabetes, type 2",Spanish;European;Mexican;Native American;Asian,Y,1,2007
IMMUNE,Graves' disease,Thai,Y,1,2006
PSYCH,personality traits,Caucasian,Y,1,2006
METABOLIC,testosterone,Swedish;Caucasian; Korean,Y,1,2005
CANCER,ovarian cancer,Caucasian;German,Y,1,2007
IMMUNE,chronic GVHD,Southeast Brazilian population,Y,1,2007
NEUROLOGICAL,epilpsy,Caucasians,Y,1,2004
METABOLIC,"diabetes, type 2",Swedish,Y,1,2004
CARDIOVASCULAR,carotid wall thickening,healthy male,Y,1,1996
CARDIOVASCULAR,brain hemorrhage,Chinese,Y,1,2004
OTHER,PEF,American,Y,1,2000
CARDIOVASCULAR,coronary heart disease among Japanese.,Japanese,Y,1,1997
METABOLIC,body mass; glucose,West African,Y,1,2005
CARDIOVASCULAR,myocardial ischemia,Russian,Y,1,2003
CANCER,bladder cancer,Chinese,Y,1,2002
RENAL,nephropathy in other diseases,Danish,Y,1,2004
OTHER,alcohol liver disease,Japanese,Y,1,1988
CARDIOVASCULAR,myocardial infarction and stroke,Icelandic and UK,Y,1,2004
CARDIOVASCULAR,"stroke, ischemic; stroke, hemorrhagic",Chinese,Y,1,2003
METABOLIC,familial defective apolipoprotein B-100 in a Chinese man,Chinese,Y,1,1993
AGING,longevity,elderly,Y,1,2002
CARDIOVASCULAR,myocardial infarct,South African,Y,1,2004
CANCER,"Breast Cancer, male",Australian,Y,1,2004
METABOLIC,bone mineral density,Italian,Y,1,1998
METABOLIC,body mass; hemoglobin A(1c),Japanese,Y,1,2003
CANCER,esophageal cancer; cardiac cancer,Chinese,Y,1,2003
IMMUNE,rheumatoid arthritis; Crohn's disease; systemic lupus erythematosus,Japanese,Y,1,2002
IMMUNE,lupus erythematosus,Spanish,Y,1,2004
OTHER,cholesteryl ester transfer protein plasma lipid levels,Spanish,Y,1,2000
METABOLIC,"cholesterol; cholesterol, LDL; carotid atherosclerosis",Japanese,Y,1,2005
OTHER,bone mass,Finnish,Y,1,2003
METABOLIC,"diabetes, type 2",Pima Indians,Y,1,2003
IMMUNE,"diabetes, type 1",South Moroccan,Y,1,2003
METABOLIC,diabetes mellitus,Chinese,Y,1,2002
IMMUNE,"Graves' disease; ophthalmopathy, Graves'",Polish,Y,1,2004
IMMUNE,"sclerosis, systemic",African American,Y,1,2004
CARDIOVASCULAR,hypertension,Kazakh population of Xinjiang Barlikun area.,Y,1,2004
IMMUNE,spondyloarthropathies,Japanese,Y,1,2004
CANCER,CYP1A1 genetic polymorphisms,Japanese,Y,1,2002
VISION,"glaucoma, primary open-angle",French,Y,1,2005
OTHER,iron stores,Thai,Y,1,2002
METABOLIC,amitriptyline metabolism,Japanese,Y,1,2002
IMMUNE,Crohn's disease and IBD,European,Y,1,2004
NEUROLOGICAL,tardive dyskinesia,Korean,Y,1,2002
PSYCH,novelty seeking,African Americans,Y,1,2002
CANCER,prostate cancer,"Population-based, King Co., WA",Y,1,2003
OTHER,COPD severity,Japanese,Y,1,2000
CARDIOVASCULAR,coronary artery disease,Finnish,Y,1,2000
OTHER,subconjunctival hemorrhage,Caucasian patients,Y,1,2004
HEMATOLOGICAL,hemophilia,Japanese,Y,1,2000
METABOLIC,body fat,African American,Y,1,2004
IMMUNE,asthma; allergic rhinitis,Polish,Y,1,2004
IMMUNE,arthritis,Japanese,Y,1,2002
NEUROLOGICAL,Parkinson's disease,Greek,Y,1,2005
PSYCH,depression,healthy medical students,Y,1,2003
METABOLIC,"diabetes, type 2",Canadian,Y,1,2001
UNKNOWN,solar keratosis,Australian,Y,1,2002
VISION,retinitis pigmentosa,Japanese,Y,1,2004
AGING,longevity,Sicilian,Y,1,2002
IMMUNE,alopecia areata,Chinese,Y,1,2005
CANCER,"leukemia, myeloid",Chinese,Y,1,2003
IMMUNE,"diabetes, type 1","Mixageneted population (caucasian, african, amerindian)",Y,1,2003
IMMUNE,"diabetes, type 1",Dutch,Y,1,2001
CARDIOVASCULAR,hypertension,Indian,Y,1,2004
PSYCH,obsessive-compulsive disorder,Mexican,Y,1,2004
PSYCH,schizophrenia,Turkish,Y,1,2003
METABOLIC,"diabetes, type 2",Spanish,Y,1,2002
CANCER,breast cancer,Iranian,Y,1,2005
DEVELOPMENTAL,small for gestational age,Swedish,Y,1,2003
CANCER,gastric carcinoma,Taiwanese Chinese,Y,1,1991
IMMUNE,asthma; atopy,Dutch,Y,1,2001
IMMUNE,systemic sclerosis,Japanese,Y,1,2003
CANCER,gastric cancer,Caucasian,Y,1,2000
INFECTION,Severe sepsis/nonsurvival,93 severe sepsis,Y,1,1999
IMMUNE,Atopic asthma,Japanese,Y,1,2001
IMMUNE,Allergic asthma,Swedish Caucasians,Y,1,2004
AGING,osteoarthritis,Caucasian,Y,1,2004
METABOLIC,insulin response to oral glucose,caucasian,Y,1,2004
IMMUNE,"diabetes, type 1",Italian,Y,1,2003
METABOLIC,age-related skeletal disorders,Japanese post menopausal women,Y,1,2002
CARDIOVASCULAR,"atherosclerosis, coronary; lipid metabolism disorders",Chinese,Y,1,2004
METABOLIC,"diabetes, type 2; insulin; leptin",Chinese,Y,1,2004
METABOLIC,HDL-cholesterol,Japanese,Y,1,2003
METABOLIC,Hypertriglyceridemia,Zagreb. Croatia,Y,1,2001
IMMUNE,chronic immune thrombocytopenic purpura.,Japanese,Y,1,2004
CARDIOVASCULAR,coronary artery disease,American,Y,1,2004
OTHER,Multiple endocrine neoplasia type 1,chinese,Y,1,2003
CANCER,breast cancer; colorectal cancer; esophageal cancer; stomach cancer,Chinese,Y,1,2004
CANCER,lung squamous cell carcinoma,Chinese,Y,1,2002
CANCER,colorectal cancer,Jewish,Y,1,2003
CARDIOVASCULAR,cardiomyopathy,Japanese,Y,1,2005
IMMUNE,"diabetes, type 1",caucasians,Y,1,2003
RENAL,"purpura, Henoch-Schonlein",Spanish,Y,1,2005
METABOLIC,"cholesterol; cholesterol, HDL; lipoprotein, LDL; triglycerides; hypertension",Swedish,Y,1,2004
CHEMDEPENDENCY,substance abuse,European,Y,1,2003
INFECTION,leprosy,"Vietnamese, Brazilian",Y,1,2004
CARDIOVASCULAR,coronary artery stenosis,Chinese,Y,1,2004
METABOLIC,"cholesterol; cholesterol, HDL; cholesterol, LDL; hypertension; lipoproteins; obesity",Chinese,Y,1,2004
NEUROLOGICAL,Parkinson's disease,Swedish,Y,1,2002
NORMALVARIATION,paraoxonase,Chinese,Y,1,2004
METABOLIC,insulin,Indian,Y,1,2003
CANCER,human long-term memory,Swiss,Y,1,2005
IMMUNE,"diabetes, type 1",south Chinese Han,Y,1,2001
IMMUNE,Rheumatoid arthritis,USA,Y,1,2004
INFECTION,HTLV-1 associated myelopathy/tropical spastic; paraparesis,Japanese,Y,1,2003
METABOLIC,"body mass; cholesterol, HDL; triglycerides; diabetes, type 2; cholesterol, LDL; hypertension; atherosclerosis",German,Y,1,2005
IMMUNE,Asthma. BHR. Total IgE. SPT,Italian,Y,1,2001
RENAL,nephropathy in other diseases,Chinese,Y,1,2004
IMMUNE,"diabetes, type 1",Janpanese,Y,1,2002
UNKNOWN,dopamine transporter availability,European American,Y,1,2005
PSYCH,"psychosis, alcoholic",Russian,Y,1,2002
CANCER,breast cancer,African American,Y,1,2004
METABOLIC,serum androgen concentrations,British men,Y,1,2001
CANCER,colorectal cancer,Australian,Y,1,2002
METABOLIC,homocysteine; vitamin B12; holotranscobalamin; methylmalonic acid,Primarily Caucasian,Y,1,2002
CARDIOVASCULAR,blood pressure,Japanese,Y,1,2002
CARDIOVASCULAR,"brain hemorrhage; stroke; stroke, lacunar",Chinese,Y,1,2004
OTHER,"deafness, nonsyndromic",Caucasian,Y,1,2002
METABOLIC,insulin resistance in obesity,morbidly obese,Y,1,2002
CARDIOVASCULAR,left ventricular hypertrophy,Swedish,Y,1,2004
CANCER,endometrial cancer,Japanese,Y,1,2005
OTHER,congenital and subclinical hypothyroidism,Caucasian,Y,1,2005
METABOLIC,Obesity,African Americans. Asian. and Caucasian,Y,1,2000
